time,Measurement,DA_1,DA_2,DA_3,HA,RT,HA_ub,HA_lb
1999-01-02 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 09:00:00,0.0088,0.0088,0,0,0,0,0,0
1999-01-03 10:00:00,0.0129,0.0129,0,0,0,0,0,0
1999-01-03 11:00:00,0.0035,0.0035,0,0,0,0,0,0
1999-01-03 12:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 13:00:00,0.0074,0.0074,0,0,0,0,0,0
1999-01-03 14:00:00,0.0165,0.0165,0,0,0,0,0,0
1999-01-03 15:00:00,0.0022,0.0022,0,0,0,0,0,0
1999-01-03 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-03 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 09:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 10:00:00,0.0078,0.0078,0,0,0,0,0,0
1999-01-04 11:00:00,0.0165,0.0165,0,0,0,0,0,0
1999-01-04 12:00:00,0.0146,0.0146,0,0,0,0,0,0
1999-01-04 13:00:00,0.016,0.016,0,0,0,0,0,0
1999-01-04 14:00:00,0.0199,0.0199,0,0,0,0,0,0
1999-01-04 15:00:00,0.0026,0.0026,0,0,0,0,0,0
1999-01-04 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-04 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 09:00:00,0.0076,0.0076,0,0,0,0,0,0
1999-01-05 10:00:00,0.0386,0.0386,0,0,0,0,0,0
1999-01-05 11:00:00,0.1031,0.1031,0,0,0,0,0,0
1999-01-05 12:00:00,0.1946,0.1946,0,0,0,0,0,0
1999-01-05 13:00:00,0.2471,0.2471,0,0,0,0,0,0
1999-01-05 14:00:00,0.2064,0.2064,0,0,0,0,0,0
1999-01-05 15:00:00,0.0623,0.0623,0,0,0,0,0,0
1999-01-05 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-05 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 09:00:00,0.1758,0.1758,0,0,0,0,0,0
1999-01-06 10:00:00,0.3407,0.3407,0,0,0,0,0,0
1999-01-06 11:00:00,0.4272,0.4272,0,0,0,0,0,0
1999-01-06 12:00:00,0.4358,0.4358,0,0,0,0,0,0
1999-01-06 13:00:00,0.393,0.393,0,0,0,0,0,0
1999-01-06 14:00:00,0.2914,0.2914,0,0,0,0,0,0
1999-01-06 15:00:00,0.0918,0.0918,0,0,0,0,0,0
1999-01-06 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-06 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 09:00:00,0.0835,0.0835,0,0,0,0,0,0
1999-01-07 10:00:00,0.1312,0.1312,0,0,0,0,0,0
1999-01-07 11:00:00,0.1998,0.1998,0,0,0,0,0,0
1999-01-07 12:00:00,0.1908,0.1908,0,0,0,0,0,0
1999-01-07 13:00:00,0.1137,0.1137,0,0,0,0,0,0
1999-01-07 14:00:00,0.0885,0.0885,0,0,0,0,0,0
1999-01-07 15:00:00,0.034,0.034,0,0,0,0,0,0
1999-01-07 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-07 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 09:00:00,0.044,0.044,0,0,0,0,0,0
1999-01-08 10:00:00,0.1025,0.1025,0,0,0,0,0,0
1999-01-08 11:00:00,0.1174,0.1174,0,0,0,0,0,0
1999-01-08 12:00:00,0.1008,0.1008,0,0,0,0,0,0
1999-01-08 13:00:00,0.0874,0.0874,0,0,0,0,0,0
1999-01-08 14:00:00,0.0414,0.0414,0,0,0,0,0,0
1999-01-08 15:00:00,0.0006,0.0006,0,0,0,0,0,0
1999-01-08 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-08 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 09:00:00,0.158,0.158,0,0,0,0,0,0
1999-01-09 10:00:00,0.2928,0.2928,0,0,0,0,0,0
1999-01-09 11:00:00,0.334,0.334,0,0,0,0,0,0
1999-01-09 12:00:00,0.3728,0.3728,0,0,0,0,0,0
1999-01-09 13:00:00,0.4022,0.4022,0,0,0,0,0,0
1999-01-09 14:00:00,0.2898,0.2898,0,0,0,0,0,0
1999-01-09 15:00:00,0.1045,0.1045,0,0,0,0,0,0
1999-01-09 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-09 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 09:00:00,0.1521,0.1521,0,0,0,0,0,0
1999-01-10 10:00:00,0.3392,0.3392,0,0,0,0,0,0
1999-01-10 11:00:00,0.4604,0.4604,0,0,0,0,0,0
1999-01-10 12:00:00,0.4545,0.4545,0,0,0,0,0,0
1999-01-10 13:00:00,0.4244,0.4244,0,0,0,0,0,0
1999-01-10 14:00:00,0.3297,0.3297,0,0,0,0,0,0
1999-01-10 15:00:00,0.1287,0.1287,0,0,0,0,0,0
1999-01-10 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-10 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 09:00:00,0.1591,0.1591,0,0,0,0,0,0
1999-01-11 10:00:00,0.2468,0.2468,0,0,0,0,0,0
1999-01-11 11:00:00,0.2889,0.2889,0,0,0,0,0,0
1999-01-11 12:00:00,0.3254,0.3254,0,0,0,0,0,0
1999-01-11 13:00:00,0.3174,0.3174,0,0,0,0,0,0
1999-01-11 14:00:00,0.2762,0.2762,0,0,0,0,0,0
1999-01-11 15:00:00,0.1145,0.1145,0,0,0,0,0,0
1999-01-11 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-11 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 09:00:00,0.0684,0.0684,0,0,0,0,0,0
1999-01-12 10:00:00,0.0983,0.0983,0,0,0,0,0,0
1999-01-12 11:00:00,0.1112,0.1112,0,0,0,0,0,0
1999-01-12 12:00:00,0.0973,0.0973,0,0,0,0,0,0
1999-01-12 13:00:00,0.0732,0.0732,0,0,0,0,0,0
1999-01-12 14:00:00,0.0381,0.0381,0,0,0,0,0,0
1999-01-12 15:00:00,0.0057,0.0057,0,0,0,0,0,0
1999-01-12 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-12 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 09:00:00,0.1263,0.1263,0,0,0,0,0,0
1999-01-13 10:00:00,0.2591,0.2591,0,0,0,0,0,0
1999-01-13 11:00:00,0.3081,0.3081,0,0,0,0,0,0
1999-01-13 12:00:00,0.2235,0.2235,0,0,0,0,0,0
1999-01-13 13:00:00,0.1426,0.1426,0,0,0,0,0,0
1999-01-13 14:00:00,0.099,0.099,0,0,0,0,0,0
1999-01-13 15:00:00,0.0336,0.0336,0,0,0,0,0,0
1999-01-13 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-13 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 09:00:00,0.1273,0.1273,0,0,0,0,0,0
1999-01-14 10:00:00,0.2814,0.2814,0,0,0,0,0,0
1999-01-14 11:00:00,0.4031,0.4031,0,0,0,0,0,0
1999-01-14 12:00:00,0.4746,0.4746,0,0,0,0,0,0
1999-01-14 13:00:00,0.4166,0.4166,0,0,0,0,0,0
1999-01-14 14:00:00,0.311,0.311,0,0,0,0,0,0
1999-01-14 15:00:00,0.1379,0.1379,0,0,0,0,0,0
1999-01-14 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-14 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 09:00:00,0.0216,0.0216,0,0,0,0,0,0
1999-01-15 10:00:00,0.069,0.069,0,0,0,0,0,0
1999-01-15 11:00:00,0.1095,0.1095,0,0,0,0,0,0
1999-01-15 12:00:00,0.1067,0.1067,0,0,0,0,0,0
1999-01-15 13:00:00,0.068,0.068,0,0,0,0,0,0
1999-01-15 14:00:00,0.0261,0.0261,0,0,0,0,0,0
1999-01-15 15:00:00,0.0004,0.0004,0,0,0,0,0,0
1999-01-15 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-15 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 09:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 10:00:00,0.0042,0.0042,0,0,0,0,0,0
1999-01-16 11:00:00,0.0107,0.0107,0,0,0,0,0,0
1999-01-16 12:00:00,0.0193,0.0193,0,0,0,0,0,0
1999-01-16 13:00:00,0.0371,0.0371,0,0,0,0,0,0
1999-01-16 14:00:00,0.0434,0.0434,0,0,0,0,0,0
1999-01-16 15:00:00,0.0232,0.0232,0,0,0,0,0,0
1999-01-16 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-16 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 06:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 07:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 08:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 09:00:00,0.0403,0.0403,0,0,0,0,0,0
1999-01-17 10:00:00,0.0895,0.0895,0,0,0,0,0,0
1999-01-17 11:00:00,0.155,0.155,0,0,0,0,0,0
1999-01-17 12:00:00,0.2005,0.2005,0,0,0,0,0,0
1999-01-17 13:00:00,0.1807,0.1807,0,0,0,0,0,0
1999-01-17 14:00:00,0.157,0.157,0,0,0,0,0,0
1999-01-17 15:00:00,0.0957,0.0957,0,0,0,0,0,0
1999-01-17 16:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 17:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 18:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 19:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 20:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 21:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 22:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-17 23:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-18 00:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-18 01:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-18 02:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-18 03:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-18 04:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-18 05:00:00,0.0,0.0,0,0,0,0,0,0
1999-01-18 06:00:00,0.0,0.0,0,0,0,0,0,0
